Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
1551;4;5590603;5590699;8592999;8593700;8599699;ENSINO DE ARTE E CULTURA NAO ESPECIFICADO ANTERIORMENTE;ENSINO DE IDIOMAS;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;OUTROS ALOJAMENTOS NAO ESPECIFICADOS ANTERIORMENTE;PENSOES ALOJAMENTO;SERVIÇOS DE ALOJAMENTO/AL;ALOJAMENTO
1883;2;4711301;4784900;5223100;5223100;5223100;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;ESTACIONAMENTO DE VEICULOS;ESTACIONAMENTO DE VEICULOS;ESTACIONAMENTO DE VEICULOS;VAREJO;COMÉRCIO VAREJISTA
2004;4;3314711;3314712;4732600;4744001;4789099;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE LUBRIFICANTES;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUARIA;MANUTENCAO E REPARACAO DE TRATORES AGRICOLAS;SERVIÇOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO
1887;1;4757100;5310502;5310502;5310502;5310502;ATIVIDADES DE FRANQUEADAS DO CORREIO NACIONAL;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO;VAREJO;COMÉRCIO VAREJISTA
1894;1;4771701;8411600;8411600;8411600;8411600;ADMINISTRACAO PUBLICA EM GERAL;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;VAREJO;COMÉRCIO VAREJISTA
1153;2;4687701;4687702;4687703;4687703;4687703;COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELAO;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2969;1;8513900;8520100;8520100;8520100;8520100;ENSINO FUNDAMENTAL;ENSINO MEDIO;ENSINO MEDIO;ENSINO MEDIO;ENSINO MEDIO;SERVIÇOS DE EDUCAÇÃO;EDUCAÇÃO
1895;3;4712100;4713002;4721103;4755502;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;VAREJO;COMÉRCIO VAREJISTA
206;0;6311900;6311900;6311900;6311900;6311900;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;INDÚSTRIA DIGITAL;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
643;1;0162899;9319199;9319199;9319199;9319199;ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2016;2;4753900;4759899;9521500;9521500;9521500;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;VAREJO;COMÉRCIO VAREJISTA
224;0;8299799;8299799;8299799;8299799;8299799;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;SERVIÇOS ADMINISTRATIVOS;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS
3039;1;4330402;4743100;4743100;4743100;4743100;COMERCIO VAREJISTA DE VIDROS;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;INDÚSTRIA DA CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
1861;4;4744099;4751200;4753900;4761003;4789005;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;COMÉRCIO VAREJISTA
1061;2;8640204;8640205;8640211;8640211;8640211;SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA;SERVICOS DE RADIOTERAPIA;SERVICOS DE TOMOGRAFIA;SERVICOS DE TOMOGRAFIA;SERVICOS DE TOMOGRAFIA;SERVIÇOS DE SAÚDE;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
1555;2;3312102;3312103;9511800;9511800;9511800;MANUTENCAO E REPARACAO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE;MANUTENCAO E REPARACAO DE APARELHOS ELETROMEDICOS E ELETROTERAPEUTICOS E EQUIPAMENTOS DE IRRADIACAO;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;SERVIÇOS DIVERSOS;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO
1239;1;4723700;4930201;4930201;4930201;4930201;COMERCIO VAREJISTA DE BEBIDAS;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;VAREJO;COMÉRCIO VAREJISTA
2277;0;3104700;3104700;3104700;3104700;3104700;FABRICACAO DE COLCHOES;FABRICACAO DE COLCHOES;FABRICACAO DE COLCHOES;FABRICACAO DE COLCHOES;FABRICACAO DE COLCHOES;BENS DE CONSUMO;FABRICAÇÃO DE MÓVEIS
2839;3;4923001;5320202;5612100;9521500;9521500;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;SERVICO DE TAXI;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ENTREGA RAPIDA;SERVICOS DE ENTREGA RAPIDA;TRANSPORTE;TRANSPORTE TERRESTRE
1234;1;4687703;7739099;7739099;7739099;7739099;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
918;2;4923002;4930202;4930204;4930204;4930204;SERVICO DE TRANSPORTE DE PASSAGEIROS  LOCACAO DE AUTOMOVEIS COM MOTORISTA;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO DE MUDANCAS;TRANSPORTE RODOVIARIO DE MUDANCAS;TRANSPORTE RODOVIARIO DE MUDANCAS;TRANSPORTE;TRANSPORTE TERRESTRE
213;1;4686902;4761003;4761003;4761003;4761003;COMERCIO ATACADISTA DE EMBALAGENS;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2270;3;5821200;5822100;5823900;5829800;5829800;EDICAO INTEGRADA A IMPRESSAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS;EDICAO INTEGRADA A IMPRESSAO DE JORNAIS;EDICAO INTEGRADA A IMPRESSAO DE LIVROS;EDICAO INTEGRADA A IMPRESSAO DE REVISTAS;EDICAO INTEGRADA A IMPRESSAO DE REVISTAS;TELECOM;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
1238;2;8511200;8512100;8513900;8513900;8513900;EDUCACAO INFANTIL  CRECHE;EDUCACAO INFANTIL  PREESCOLA;ENSINO FUNDAMENTAL;ENSINO FUNDAMENTAL;ENSINO FUNDAMENTAL;SERVIÇOS DE EDUCAÇÃO;EDUCAÇÃO
1869;3;4712100;4744001;4744099;4789099;4789099;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
1227;0;9319199;9319199;9319199;9319199;9319199;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVIÇOS DIVERSOS;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
801;1;5240199;7911200;7911200;7911200;7911200;AGENCIAS DE VIAGENS;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;TRANSPORTE;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
1870;3;4742300;4744005;6822600;8111700;8111700;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE MATERIAL ELETRICO;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS;VAREJO;COMÉRCIO VAREJISTA
2844;1;1813001;8219999;8219999;8219999;8219999;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PAPEL E CELULOSE;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
2931;2;4634601;4634602;4721103;4721103;4721103;COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS;COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
2199;2;6201501;6204000;6209100;6209100;6209100;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;INDÚSTRIA DIGITAL;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
1214;4;1521100;1629301;1813099;2229399;3299099;FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;FABRICACAO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;IMPRESSAO DE MATERIAL PARA OUTROS USOS;BENS DE CONSUMO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1756;1;3832700;4687702;4687702;4687702;4687702;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS, EXCETO DE PAPEL E PAPELAO;RECUPERACAO DE MATERIAIS PLASTICOS;RECUPERACAO DE MATERIAIS PLASTICOS;RECUPERACAO DE MATERIAIS PLASTICOS;RECUPERACAO DE MATERIAIS PLASTICOS;SERVIÇOS DE SANEAMENTO BÁ;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
1875;3;4742300;4751200;4761003;4789005;4789005;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE MATERIAL ELETRICO;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;COMÉRCIO VAREJISTA
1972;4;4729699;4781400;4782201;4782202;4789001;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;VAREJO;COMÉRCIO VAREJISTA
1462;3;3101200;4321500;4330404;4399103;4399103;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;INSTALACAO E MANUTENCAO ELETRICA;OBRAS DE ALVENARIA;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;BENS DE CONSUMO;FABRICAÇÃO DE MÓVEIS
3077;1;9001903;9001905;9001905;9001905;9001905;PRODUCAO DE ESPETACULOS DE DANCA;PRODUCAO DE ESPETACULOS DE RODEIOS, VAQUEJADAS E SIMILARES;PRODUCAO DE ESPETACULOS DE RODEIOS, VAQUEJADAS E SIMILARES;PRODUCAO DE ESPETACULOS DE RODEIOS, VAQUEJADAS E SIMILARES;PRODUCAO DE ESPETACULOS DE RODEIOS, VAQUEJADAS E SIMILARES;SERVIÇOS DIVERSOS;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
1971;0;4722902;4722902;4722902;4722902;4722902;PEIXARIA;PEIXARIA;PEIXARIA;PEIXARIA;PEIXARIA;VAREJO;COMÉRCIO VAREJISTA
1529;1;1629301;9602501;9602501;9602501;9602501;CABELEIREIROS, MANICURE E PEDICURE;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS DE MADEIRA
288;1;8011101;8121400;8121400;8121400;8121400;ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA;LIMPEZA EM PREDIOS E EM DOMICILIOS;LIMPEZA EM PREDIOS E EM DOMICILIOS;LIMPEZA EM PREDIOS E EM DOMICILIOS;LIMPEZA EM PREDIOS E EM DOMICILIOS;SERVIÇOS ADMINISTRATIVOS;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
152;4;5510803;5611202;8230002;9003500;9329801;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;CASAS DE FESTAS E EVENTOS;DISCOTECAS, DANCETERIAS, SALOES DE DANCA E SIMILARES;GESTAO DE ESPACOS PARA ARTES CENICAS, ESPETACULOS E OUTRAS ATIVIDADES ARTISTICAS;MOTEIS;SERVIÇOS DE ALOJAMENTO/AL;ALOJAMENTO
1942;4;4721102;4723700;4772500;4781400;4783101;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;VAREJO;COMÉRCIO VAREJISTA
1915;4;4789008;5811500;5819100;7420001;7420004;ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS, EXCETO AEREA E SUBMARINA;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM;EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS;EDICAO DE LIVROS;FILMAGEM DE FESTAS E EVENTOS;VAREJO;COMÉRCIO VAREJISTA
2430;2;1813099;4741500;4761003;4761003;4761003;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;IMPRESSAO DE MATERIAL PARA OUTROS USOS;IMPRESSAO DE MATERIAL PARA OUTROS USOS;IMPRESSAO DE MATERIAL PARA OUTROS USOS;PAPEL E CELULOSE;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
1543;1;9412099;9499500;9499500;9499500;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVIÇOS DIVERSOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
1268;3;4321500;4712100;4721103;4723700;4723700;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;INSTALACAO E MANUTENCAO ELETRICA;INSTALACAO E MANUTENCAO ELETRICA;INDÚSTRIA DA CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
958;1;0134200;0151202;0151202;0151202;0151202;CRIACAO DE BOVINOS PARA LEITE;CULTIVO DE CAFE;CULTIVO DE CAFE;CULTIVO DE CAFE;CULTIVO DE CAFE;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
294;2;0210106;7490199;8599604;8599604;8599604;CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;PRODUTOS DE AGROPECUÁRIA;PRODUÇÃO FLORESTAL
1476;1;6810201;6810202;6810202;6810202;6810202;ALUGUEL DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;SERVIÇOS ADMINISTRATIVOS;ATIVIDADES IMOBILIÁRIAS
173;0;6821801;6821801;6821801;6821801;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;SERVIÇOS ADMINISTRATIVOS;ATIVIDADES IMOBILIÁRIAS
