Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
2170;4;5320201;7020400;7490104;7830200;8211300;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA;ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL, EXCETO IMOBILIARIOS;FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS DE MALOTE NAO REALIZADOS PELO CORREIO NACIONAL;TRANSPORTE;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
179;1;4662100;4663000;4663000;4663000;4663000;COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL, PARTES E PECAS;COMERCIO ATACADISTA DE MAQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERACAO E CONSTRUCAO, PARTES E PECAS;COMERCIO ATACADISTA DE MAQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERACAO E CONSTRUCAO, PARTES E PECAS;COMERCIO ATACADISTA DE MAQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERACAO E CONSTRUCAO, PARTES E PECAS;COMERCIO ATACADISTA DE MAQUINAS, EQUIPAMENTOS PARA TERRAPLENAGEM, MINERACAO E CONSTRUCAO, PARTES E PECAS;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
1873;4;4321500;4322301;4330404;4399103;8130300;ATIVIDADES PAISAGISTICAS;INSTALACAO E MANUTENCAO ELETRICA;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;OBRAS DE ALVENARIA;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDÚSTRIA DA CONSTRUÇÃO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
2110;4;2330302;2330399;4213800;4292801;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;MONTAGEM DE ESTRUTURAS METALICAS;OBRAS DE URBANIZACAO  RUAS, PRACAS E CALCADAS;QUÍMICA-PETROQUÍMICA;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
781;4;0810006;4679699;4744099;5021102;5231102;ATIVIDADES DO OPERADOR PORTUARIO;COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;EXTRACAO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO;TRANSPORTE POR NAVEGACAO INTERIOR DE CARGA, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL, EXCETO TRAVESSIA;MINERAÇÃO;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
1069;1;4753900;9521500;9521500;9521500;9521500;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;VAREJO;COMÉRCIO VAREJISTA
3029;3;9329899;9430800;9493600;9499500;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;SERVIÇOS DIVERSOS;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
783;0;4752100;4752100;4752100;4752100;4752100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;VAREJO;COMÉRCIO VAREJISTA
1067;2;4729699;4763602;4781400;4781400;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMÉRCIO VAREJISTA
2404;4;4755501;4755502;4781400;4782201;4782202;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE TECIDOS;VAREJO;COMÉRCIO VAREJISTA
