Código Localidade;Logradouro;Bairro;Município;UF
58173000;RUA SITIO VIRACAO;ZONA RURAL;DAMIAO;PB
35515000;RUA GOIAS;CENTRO;PERDIGAO;MG
13990000;RUA TIRADENTES;CENTRO;ESPIRITO SANTO DO PINHAL;SP
62580000;RUA CORONEL TEIXEIRA PINTO;CRUZ;ACARAU;CE
18245000;TRECHO ROMARIO DE ARAUJO;CENTRO;CAMPINA DO MONTE ALEGRE;SP
22290160;RUA LAURO MULLER;BOTAFOGO;RIO DE JANEIRO;RJ
58028840;AVENIDA PRESIDENTE TANCREDO NEVES;IPES;JOAO PESSOA;PB
91450290;RUA FERNANDO SOUTO DA SILVA;PROTASIO ALVES;PORTO ALEGRE;RS
96501035;LOCALIDADE CERRO BRANCO;DISTRITO;CACHOEIRA DO SUL;RS
85851000;AVENIDA BRASIL;CENTRO;FOZ DO IGUACU;PR
39800127;RUA FRANCISCO SA;CENTRO;TEOFILO OTONI;MG
77400000;AVENIDA DAS ACACIAS;PARQUE DAS ACACIAS;GURUPI;TO
19015030;RUA RIBEIRO DE BARROS;VILA DUBUS;PRESIDENTE PRUDENTE;SP
74465539;RUA SETE;VILA AURORA;GOIANIA;GO
32060514;RODOVIA FERNAO DIAS BR;JARDIM RIACHO;CONTAGEM;MG
04569000;RUA GUARAIUVA;CIDADE MONCOES;SAO PAULO;SP
37504050;RUA DOUTOR LUIZ RENNO;AVENIDA;ITAJUBA;MG
13346400;AVENIDA ARIO BARNABE;JARDIM MORADA DO SOL;INDAIATUBA;SP
12425190;RUA DOUTOR MANOEL I M ROMEIRO;JARDIM REZENDE;PINDAMONHANGABA;SP
36090270;RUA TOME DE SOUZA;BENFICA;JUIZ DE FORA;MG
69033000;RUA DA SAUDADE;VILA DA PRATA;MANAUS;AM
12412010;AVENIDA DOUTOR ANTONIO PINHEIRO JUNIOR;JARDIM CRISTINA;PINDAMONHANGABA;SP
84010000;AVENIDA DOUTOR VICENTE MACHADO;CENTRO;PONTA GROSSA;PR
11700250;AVENIDA MARECHAL HERMES;CANTO DO FORTE;PRAIA GRANDE;SP
01007030;GALERIA PRESTES MAIA;CENTRO;SAO PAULO;SP
88509130;RUA CARLOS JOFFRE DO AMARAL;CENTRO;LAGES;SC
96217010;RUA DONA ANA;BOLACHA;RIO GRANDE;RS
24456480;RUA BAGE;TRINDADE;SAO GONCALO;RJ
26033280;RUA MONICA;SAO LUIZ GONZAGA;NOVA IGUACU;RJ
95595000;RUA SAO JERONIMO;MAGISTERIO;CIDREIRA;RS
02333000;AVENIDA AGUA FRIA;AGUA FRIA;SAO PAULO;SP
05037140;RUA SARA DE SOUZA;AGUA BRANCA;SAO PAULO;SP
69099010;RUA IBIPETUBA;NOVO ALEIXO;MANAUS;AM
15105000;FAZENDA SANTA MARIA;PEDRINHAS;POTIRENDABA;SP
13800970;SITIO SAO LUIZ;RURAL PEDERNEIRAS;MOGI MIRIM;SP
13060031;RUA SOROR JOANA ANGELICA DE JESUS;JARDIM CAMPOS ELISEOS;CAMPINAS;SP
89163020;RODOVIA BR 470;CANTA GALO;RIO DO SUL;SC
76450000;AVENIDA PIAUI;CENTRO;MINACU;GO
06361400;ESTRADA DO JACARANDA;ALTOS DA SANTA LUCIA;CARAPICUIBA;SP
04543120;RUA EDUARDO DE SOUZA ARANHA;ITAIM BIBI;SAO PAULO;SP
96200340;RUA SILVA PAES;CENTRO;RIO GRANDE;RS
85760970;AVENIDA BRASIL;CENTRO;CAPANEMA;PR
09185730;RUA IRANI;JARDIM STELLA;SANTO ANDRE;SP
03344015;RUA BAGUASSU;VILA REGENTE FEIJO;SAO PAULO;SP
09380320;RUA ZEQUINHA DE ABREU;JARDIM SONIA MARIA;MAUA;SP
64280000;RUA SENADOR JOSE EUZEBIO;CENTRO;CAMPO MAIOR;PI
05880270;RUA CUNHA SEIXA;PARQUE INDEPENDENCIA;SAO PAULO;SP
01529900;RUA PIRES DA MOTA;ACLIMACAO;SAO PAULO;SP
69900526;AVENIDA ANTONIO DA ROCHA VIANA;VILA IVONTE;RIO BRANCO;AC
69400589;RUA SENADOR FABIO LUCENA;LIBERDADE;MANACAPURU;AM
12081480;RUA PROFESSOR FRANCISCO PEREIRA DA SILVA;JARDIM SONIA MARIA;TAUBATE;SP
13630095;RUA DUQUE DE CAXIAS;CENTRO;PIRASSUNUNGA;SP
94150340;RODOVIA RS 118;BARNABE;GRAVATAI;RS
24461640;RUA AVELINO BRAGA;MUTUAPIRA;SAO GONCALO;RJ
18200280;RUA SAO VICENTE DE PAULA;CENTRO;ITAPETININGA;SP
44230000;RUA ORATRAVE;SERRA;AMELIA RODRIGUES;BA
62748000;RUA JOSE SARAIVA SOBRINHO;CENTRO;CAPISTRANO;CE
57200000;AVENIDA GETULIO VARGAS;CENTRO HISTORICO;PENEDO;AL
19990000;SITIO SANTA IZABEL;AGUA DA PIRAPITINGA;PLATINA;SP
78580000;RUA JOAQUIM NABUCO;CIDADE BELA;ALTA FLORESTA;MT
17500970;SITIO SAO VITOR;ROSALIA;MARILIA;SP
18940000;RODOVIA BR 153;JACUBA;SAO PEDRO DO TURVO;SP
14500000;SITIO BOA ESPERANCA;RURAL;ITUVERAVA;SP
18620000;SITIO SANTA TEREZINHA;DISTRITO DE PIRAMBOIA;ANHEMBI;SP
03055000;RUA SAO LEOPOLDO;;SAO PAULO;SP
01311200;AVENIDA PAULISTA;PARAISO;SAO PAULO;SP
64518000;AVENIDA TANCREDO NEVES;CENTRO;SANTA ROSA DO PIAUI;PI
88352502;RODOVIA ANTONIO HEIL;LIMOEIRO;BRUSQUE;SC
03119000;RUA MADRE DE DEUS;MOOCA;SAO PAULO;SP
41315170;RUA DAS MERCEDARIAS;DOM AVELAR;SALVADOR;BA
98640000;RUA DOUTOR BECKER;CENTRO;CRISSIUMAL;RS
36800000;RUA TOMBOS;CENTRO;CARANGOLA;MG
88526070;AVENIDA PRIMEIRO DE MAIO;POPULAR;LAGES;SC
05477000;AVENIDA DAS NACOES UNIDAS;JARDIM UNIVERSIDADE PINHEIROS;SAO PAULO;SP
38440218;RUA OLEGARIO MACIEL;CENTRO;ARAGUARI;MG
93821314;RUA NACOES UNIDAS;AMARAL RIBEIRO;SAPIRANGA;RS
89560000;RUA SONIA KROEFF ANTUNES;VILA VERDE;VIDEIRA;SC
29163970;AVENIDA BRIGADEIRO EDUARDO GOMES;TUBARAO;SERRA;ES
31270350;RUA CACUERA;PAMPULHA;BELO HORIZONTE;MG
03132020;RUA FIDELIS PAPINI;VILA PRUDENTE;SAO PAULO;SP
08032430;RUA JURUVIARA;VILA NOVA CURUCA;SAO PAULO;SP
86150000;RUA FRANCISCO BOTELHO CARVALHO;CENTRO;ALVORADA DO SUL;PR
56512050;RUA GOVERNADOR ESTACIO COIMBRA;SAO CRISTOVAO;ARCOVERDE;PE
13503504;AVENIDA PROJETADA;JARDIM PAULISTA;RIO CLARO;SP
45848970;RUA PEDRO ALVARES CABRAL;CENTRO;ITABELA;BA
90030000;RUA VOLUNTRIOS DA PATRIA;CENTRO;PORTO ALEGRE;RS
38415069;RUA DOS TAROIS;TAIAMA;UBERLANDIA;MG
18682050;AVENIDA LAZARO BRIGIDO DUTRA;BELA VISTA;LENCOIS PAULISTA;SP
74025010;AVENIDA PARANAIBA;SETOR CENTRAL;GOIANIA;GO
03176001;RUA TOBIAS BARRETO;MOOCA;SAO PAULO;SP
09530130;RUA PEDRO JOSE LORENZINI;CENTRO;SAO CAETANO DO SUL;SP
68721000;RUA FRANCISCO NUNES;PONTA DA AGULGA;SALINOPOLIS;PA
29890000;AVENIDA NEREU RAMOS;CENTRO;MONTANHA;ES
95600000;ESTRADA M PELADO A MORRO DNEGRO;PEGA FOGO;TAQUARA;RS
09251040;AVENIDA ARAUCARIA;PARQUE NOVO ORATORIO;SANTO ANDRE;SP
06501120;RUA FERNAO DIAS FALCAO;CENTRO;SANTANA DE PARNAIBA;SP
05005900;RUA TURIASSU;BARRA FUNDA;SAO PAULO;SP
95150000;RUA DOIS IRMAOS;POUSADA DA NEVE;NOVA PETROPOLIS;RS
58158000;RUA PREFEITO INACIO CLAUDINO;CENTRO;SERIDO;PB
12990970;RUA BERNARDINO DE LIMA PAES;CENTRO;PEDRA BELA;SP
75075470;RUA 19;BOA VISTA;ANAPOLIS;GO
88210000;AVENIDA COLOMBO SALLES;PEREQUE;PORTO BELO;SC
08280000;AVENIDA LIDER;CIDADE LIDER;SAO PAULO;SP
13201901;RUA SIQUEIRA DE MORAES;CENTRO;JUNDIAI;SP
21061060;RUA NOVA BRASILIA;BONSUCESSO;RIO DE JANEIRO;RJ
02542000;RUA EPAMINONDAS MELO DO AMARAL;SITIO DO MANDAQUI;SAO PAULO;SP
17060170;RUA ALTO JURUA;VILA CAMARGO;BAURU;SP
92500000;RUA SAO JOSE;CENTRO;GUAIBA;RS
22280080;RUA ASSIS BUENO;BOTAFOGO;RIO DE JANEIRO;RJ
51190240;RUA ALBINO REINE;IPSEP;RECIFE;PE
84930000;RUA XV DE NOVEMBRO;CENTRO;JABOTI;PR
30110021;AVENIDA DO CONTORNO;FUNCIONARIOS;BELO HORIZONTE;MG
31555250;RUA MURIAE;SANTA AMELIA;BELO HORIZONTE;MG
13843034;RUA CRISTOVAO COLOMBO;VILA PARAISO;MOGI GUACU;SP
24465370;RUA ONZE DE FEVEREIRO;BRASILANDIA;SAO GONCALO;RJ
37445000;RUA CAPITAO PINTO;CENTRO;CRUZILIA;MG
30330080;RUA RAUL POMPEIA;SAO PEDRO;BELO HORIZONTE;MG
19530000;ESTANCIA VO CIRO;ZONA RURAL;CAIABU;SP
40445180;TRAVESSA CONSELHEIRO ZACARIAS;MARES;SALVADOR;BA
90030140;AVENIDA ALBERTO BINS;CENTRO;PORTO ALEGRE;RS
13990000;PRACA 13 DE MAIO;CENTRO;ESPIRITO SANTO DO PINHAL;SP
21351280;RUA FELIZARDO GOMES;OSWALDO CRUZ;RIO DE JANEIRO;RJ
39180000;RUA TAMBORIL;CENTRO;FELICIO DOS SANTOS;MG
64780000;CAMPO POVOADO BARREIRO DOS DOUCAS;CENTRO;ANISIO DE ABREU;PI
69930000;RUA SADALLA KOURY;CENTRO;XAPURI;AC
08382130;RUA ILHA DE CAPRI;RECANTO VERDE SOL;SAO PAULO;SP
68501660;AVENIDA TRANSAMAZONICA;CIDADE NOVA;MARABA;PA
89063000;RUA GUSTAVO ZIMMERMANN;ITOUPAVA CENTRAL;BLUMENAU;SC
32371190;AVENIDA AGUA BRANCA;JARDIM BANDEIRANTES;CONTAGEM;MG
37563000;RUA JOSE TOMAS CANTUARIA;CENTRO;TOCOS DO MOJI;MG
96815650;RUA JORGE H EICHENBERG;UNIVERSITARIO;SANTA CRUZ DO SUL;RS
18055089;RUA LUIZ GABRIOTTI;WANEL VILLE II;SOROCABA;SP
90035141;RUA FELIPE CAMARAO;BOM FIM;PORTO ALEGRE;RS
03923095;RUA GEORGE RAIGER;PARQUE DOS BANCARIOS;SAO PAULO;SP
57025223;RUA SOLDADO EDUARDO DOS SANTOS;POCO;MACEIO;AL
58701165;RUA BASTA GOMES;LIBERDADE;PATOS;PB
18110210;AVENIDA SAO JOAO;JARDIM ICATU;VOTORANTIM;SP
63860970;AVENIDA ANTONIO COSTA VIEIRA;PINHOS;MADALENA;CE
04334005;RUA JOSE BONIFACIO;JARDIM LOURDES;SAO PAULO;SP
11250000;RUA AIRTON SENA DA SILVA;JARDIM ITAPANHAU;BERTIOGA;SP
71920540;QNL 10 CONJUNTO A;TAGUATINGA;BRASILIA;DF
14900000;SITIO GRAMA;QUADRO;ITAPOLIS;SP
95047430;RUA PALMITA PEXE BOVO;BELO HORIZONTE;CAXIAS DO SUL;RS
19802445;FAZENDA SANTA AMELIA;AGUA DA CRUZ E LEMBRADO;ASSIS;SP
02117011;RUA DIAMANTINA;VILA MARIA;SAO PAULO;SP
06040160;RUA CESAR VARELLA;JARDIM D ABRIL;OSASCO;SP
07092070;RUA HELIO MANZONI;GOPOUVA;GUARULHOS;SP
05580050;RUA SANTANESIA;BUTANTA;SAO PAULO;SP
78635000;MARGEM DIRETOR ROD MT;ZONA RURAL;AGUA BOA;MT
86703100;POMBA ASA BRANCA;CONJ NOVO CENTAURO;ARAPONGAS;PR
37653000;AVENIDA MONTE VERDE;DIST MONTE VERDE;CAMANDUCAIA;MG
45490000;RUA MILTON ASSIS;CENTRO;LAJE;BA
06322670;RUA JACOB CSIPATI;VILA SILVIANIA;CARAPICUIBA;SP
18117330;AVENIDA ANTONIO CASTANHARO;PARQUE JATAI;VOTORANTIM;SP
37223972;AVENIDA PRESIDENTE MEDICI;APARECIDA;IBITURUNA;MG
06730000;RUA CISPLATINA;TIJUCO PRETO;VARGEM GRANDE PAULISTA;SP
56600000;AVENIDA JOAQUIM NABUCO;CENTRO;SERTANIA;PE
78770000;AVENIDA JACIARA;NOVO HORIZONTE;ALTO GARCAS;MT
68924000;RUA PEDRO LADISLAU;PRAINHA;VITORIA DO JARI;AP
39400514;AVENIDA DOUTOR SIDNEY CHAVES;JOAO GORDO;MONTES CLAROS;MG
55430000;RUA MARIO AUGUSTO TEIXEIRA DE FREITAS;CENTRO;ANGELIM;PE
43805190;RUA 21 DE ABRIL;CENTRO;CANDEIAS;BA
04475540;RUA FERNANDO GOES;PARQUE DOROTEIA;SAO PAULO;SP
35500155;AVENIDA JK;SANTA CLARA;DIVINOPOLIS;MG
18086101;RUA RENE BOSCHETTI;JARDIM IBITI DO PACO;SOROCABA;SP
37576000;RUA MARILIA DE DIRCEU;CENTRO;INCONFIDENTES;MG
88161420;RUA HOMERO DE MIRANDA GOMES;FUNDOS;BIGUACU;SC
78600000;RUA MATO GROSSO;CENTRO;BARRA DO GARCAS;MT
95500972;ESTRADA DO PINHEIRINHO;PINHEIRINHOS;SANTO ANTONIO DA PATRULHA;RS
35400000;RUA DA LAGOA;ANTONIO PEREIRA;OURO PRETO;MG
68580000;RUA HOMERO DE SOUZA;CENTRO;ITUPIRANGA;PA
28650000;RUA MONNERAT;CENTRO;DUAS BARRAS;RJ
54345790;RUA ITAPECURU MIRIM;PRAZERES;JABOATAO DOS GUARARAPES;PE
12320010;AVENIDA MORIAKI UENO;JARDIM BEIRA RIO;JACAREI;SP
08485300;RUA SENADOR NELSON CARNEIRO;CONJUNTO HABITACIONAL SANTA ETELVINA II;SAO PAULO;SP
37775000;AVENIDA DOUTOR DEMOSTENES RIO BRANCO;VILA NOVA;SANTA RITA DE CALDAS;MG
18074660;RUA TARCIZO GERALDO DARIO;JARDIM SAO GUILHERME;SOROCABA;SP
69317234;RUA EUCLIDES GOMES DA SILVA;ALVORADA;BOA VISTA;RR
18120000;RUA JOAO ANTONIO RAMOS;MARMELEIRO;MAIRINQUE;SP
82200060;RUA DOUTOR NELSON DE SOUZA PINTO;SAO LOURENCO;CURITIBA;PR
44008540;RUA TENENTE PORTELA;CALUMBI;FEIRA DE SANTANA;BA
57160000;RODOVIA BARNABE CABRAL TOLEDO;TAPERAGUA;MARECHAL DEODORO;AL
15810085;AVENIDA MIGUEL CALIL;RESIDENCIAL PARAISO;CATANDUVA;SP
07428205;AVENIDA BENEDITO MANOEL DOS SANTOS;JARDIM FAZENDA RINCAO;ARUJA;SP
13183255;AVENIDA TEREZA ANA CECON BREDA;JARDIM DAS COLINAS;HORTOLANDIA;SP
74063010;AVENIDA GOIAS;SETOR CENTRAL;GOIANIA;GO
37508000;AVENIDA JUSCELINO KUBSTICHEK DE OLIVEIRA;CENTRO;PIRANGUINHO;MG
96015000;RUA QUINZE DE NOVEMBRO;CENTRO;PELOTAS;RS
51150620;RUA DO TRIANGULO;BOA VIAGEM;RECIFE;PE
13070058;AVENIDA LUIZ SMANIO;JARDIM CHAPADAO;CAMPINAS;SP
79002221;RUA ANTONIO MARIA COELHO;CENTRO;CAMPO GRANDE;MS
06694070;RUA MANOEL QUILLES;JARDIM NOVA ITAPEVI;ITAPEVI;SP
69905232;AVENIDA EPAMINONDAS JACOME;CADEIA VELHA;RIO BRANCO;AC
41350150;RUA BARAO DO RIO BRANCO;NOVA BRASILIA;SALVADOR;BA
37200973;RUA FRANCISCO SALLES;CENTRO;LAVRAS;MG
18270010;RUA CORONEL AURELIANO CAMARGO;CENTRO;TATUI;SP
89145000;AVENIDA 26 DE ABRIL;CENTRO;JOSE BOITEUX;SC
13186180;RUA BENEDITO CANDIDO DOS REIS;JARDIM CAMPOS VERDES;HORTOLANDIA;SP
50040200;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR;SANTO AMARO;RECIFE;PE
35050140;RUA LEVI JOSE SOARES;SAO JOSE;GOVERNADOR VALADARES;MG
30140020;PRACA JOAO PESSOA;FUNCIONARIOS;BELO HORIZONTE;MG
71810100;QN 15 CONJUNTO 1;RIACHO FUNDO I;BRASILIA;DF
35430001;AVENIDA CAETANO MARINHO;CENTRO;PONTE NOVA;MG
17400000;LOCALIDADE CHACARA S APARECIDA;RIBEIRAO ALEGRE;GARCA;SP
75909170;AVENIDA RIO VERDE;CASTELANDIA;RIO VERDE;GO
78325970;AVENIDA DOIS DE DEZEMBRO;CENTRO;ARIPUANA;MT
22753034;ESTRADA DE JACAREPAGUA;FREGUESIA;RIO DE JANEIRO;RJ
14750000;RUA SERGIPE;CENTRO;PITANGUEIRAS;SP
65905105;RUA ALVARO PEREIRA;BOM SUCESSO;IMPERATRIZ;MA
78550240;RUA DAS NOGUEIRAS;SETOR COMERCIAL;SINOP;MT
64005355;RUA RUI BARBOSA ZONA NORTE;SAO JOAQUIM;TERESINA;PI
01521000;RUA CESARIO RAMALHO;CAMBUCI;SAO PAULO;SP
01228200;AVENIDA ANGELICA;CONSOLACAO;SAO PAULO;SP
88220971;AVENIDA NEREU RAMOS;MEIA PRAIA;ITAPEMA;SC
66820000;RODOVIA AUGUSTO MONTENEGRO;TENONE;BELEM;PA
96230000;RUA GOVERNADOR LEONEL DE MOURA BRIZOLA;COAHB II;SANTA VITORIA DO PALMAR;RS
17512752;AVENIDA SIGISMUNDO NUNES DE OLIVEIRA;JARDIM NAZARETH;MARILIA;SP
14024193;RUA GALILEU GALILEI;CONDOMINIO ITAMARATY;RIBEIRAO PRETO;SP
59140200;AVENIDA BRIGADEIRO EVERALDO BREVES;CENTRO;PARNAMIRIM;RN
03711009;AVENIDA CANGAIBA;CANGAIBA;SAO PAULO;SP
42700000;TRAVESSA ABELARDO ANDREA;CENTRO;LAURO DE FREITAS;BA
19940000;RUA MINISTRO SALGADO FILHO;CENTRO;IBIRAREMA;SP
18606140;RUA ANTONIO SABINO S ROSA;VILA SANTANA;BOTUCATU;SP
60540468;RUA TENENTE FRANCISCO PAIVA;GRANJA LISBOA;FORTALEZA;CE
99052328;RUA ANGELO COVATTI;LEONARDO ILHA;PASSO FUNDO;RS
14010170;RUA GARIBALDI;CENTRO;RIBEIRAO PRETO;SP
85851120;RUA MARECHAL FLORIANO;CENTRO;FOZ DO IGUACU;PR
24900000;RODOVIA AMARAL PEIXOTO;INOA;MARICA;RJ
89295000;RODOVIA BR 280;CENTRO;RIO NEGRINHO;SC
74976090;RUA BRASILIA;JARDIM BELO HORIZONTE;APARECIDA DE GOIANIA;GO
75260000;RUA EUZEBIO DE OLIVEIRA;CENTRO;VIANOPOLIS;GO
75133590;VP;LAPA;ANAPOLIS;GO
33400000;RUA CECILIA DOLABELA;CENTRO;LAGOA SANTA;MG
03192140;RUA SANCHES DE AGUIAR;VILA ORATORIO;SAO PAULO;SP
19010270;AVENIDA MANOEL GOULART;VILA NOVA;PRESIDENTE PRUDENTE;SP
49790000;RUA MARECHAL DEODORO;CENTRO;AQUIDABA;SE
36680000;RUA CAPITAO FERREIRA CAMPOS;CENTRO;SAO JOAO NEPOMUCENO;MG
97700000;RUA FLORES DA CUNHA;CENTRO;SANTIAGO;RS
29055642;AVENIDA RIO BRANCO;PRAIA DO CANTO;VITORIA;ES
72220060;EQNN 4 BLOCO B;CEILANDIA SUL;BRASILIA;DF
30640010;AVENIDA OLINTO MEIRELES;BARREIRO;BELO HORIZONTE;MG
01249000;RUA CASSIO MARTINS VILACA;PACAEMBU;SAO PAULO;SP
19700000;AVENIDA BRASIL;CENTRO;PARAGUACU PAULISTA;SP
22783117;ESTRADA DOS BANDEIRANTES;JACAREPAGUA;RIO DE JANEIRO;RJ
20230015;RUA RIACHUELO;CENTRO;RIO DE JANEIRO;RJ
85508160;RUA PRINCESA ISABEL;ALVORADA;PATO BRANCO;PR
69553325;RUA BOM JARDIM;SAO JOAO;TEFE;AM
30494270;AVENIDA BARAO HOMEM DE MELO;ESTORIL;BELO HORIZONTE;MG
44600000;RODOVIA BA 52;ESTRADA DO FEIJAO;IPIRA;BA
58170000;RUA JOSE MATIAS DE ALMEIDA;CENTRO;BARRA DE SANTA ROSA;PB
78010200;AVENIDA CORONEL ESCOLASTICO;BANDEIRANTES;CUIABA;MT
44280970;AVENIDA DOUTOR OCTAVIO DE ARAUJO;CENTRO;TEODORO SAMPAIO;BA
17510407;RUA EVARISTO DA VEIGA;PALMITAL;MARILIA;SP
04890100;RUA MANOEL NOBREGA DE ALBUQUERQUE;JARDIM NOVO PARELHEIROS;SAO PAULO;SP
18550000;RODOVIA JOSE SARTORELLI;SANTO ANTONIO;BOITUVA;SP
90660280;RUA HUMBERTO DE CAMPOS;PARTENON;PORTO ALEGRE;RS
29680000;RUA JOSE LEONI;SAO CARLOS II;JOAO NEIVA;ES
13360000;AVENIDA PIO XII;RAIA;CAPIVARI;SP
13060812;RUA JOAO BATISTA GARGANTINI;JARDIM IPAUSSURAMA;CAMPINAS;SP
14490000;RUA VISCONDE DE OURO PRETO;CENTRO;RIFAINA;SP
08554120;RUA DEPUTADO NELSON FERNANDES;CIDADE KEMEL;POA;SP
29215120;RUA ANTONIO GUIMARAES;MUQUICABA;GUARAPARI;ES
89865000;AVENIDA INDEPENDENCIA;CENTRO;NOVA ERECHIM;SC
99950974;RUA DO COMERCIO;CENTRO;TAPEJARA;RS
60744400;RUA 102;ITAPERI;FORTALEZA;CE
13150000;RUA OTTO HERBST;VILA JOSE KALIL;COSMOPOLIS;SP
02165000;AVENIDA BANDEIRANTES DO SUL;VILA MARIA;SAO PAULO;SP
56320410;RUA RIO PARAGUAI;JOSE E MARIA;PETROLINA;PE
76820868;AVENIDA GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;EMBRATEL;PORTO VELHO;RO
35182054;AVENIDA CASTELO BRANCO;SAO JOSE;TIMOTEO;MG
08050710;RUA LARANJA DA CHINA;JARDIM DAS CAMELIAS;SAO PAULO;SP
54505000;AVENIDA LAURA CAVALCANTE;GAIBU;CABO DE SANTO AGOSTINHO;PE
07061001;AVENIDA DOUTOR TIMOTEO PENTEADO;VILA GALVAO;GUARULHOS;SP
44380000;RUA MANOEL CAETANO DA ROCHA PASSOS;CENTRO;CRUZ DAS ALMAS;BA
24744580;RUA JOSE VARELA;COLUBANDE;SAO GONCALO;RJ
04107011;RUA DA UNIAO;VILA MARIANA;SAO PAULO;SP
04296000;AVENIDA SANTO ALBANO;VILA VERA;SAO PAULO;SP
59580971;DISTRITO MARACAJAU;POVOADO MARACAJAU;MAXARANGUAPE;RN
89251300;RUA RODOLFO HUFENUESSLER;CENTRO;JARAGUA DO SUL;SC
90050230;RUA JOAO ALFREDO;CIDADE BAIXA;PORTO ALEGRE;RS
78065165;AVENIDA GENERAL MELO;JARDIM TROPICAL;CUIABA;MT
04559001;AVENIDA PORTUGAL;BROOKLIN PAULISTA;SAO PAULO;SP
76806659;RODOVIA BR 364;KM 1;PORTO VELHO;RO
78125100;AVENIDA PRESIDENTE ARTHUR BERNARDES;JARDIM AEROPORTO;VARZEA GRANDE;MT
38770000;RUA FREI DIONISIO;CENTRO;JOAO PINHEIRO;MG
04546043;RUA QUATA;VILA OLIMPIA;SAO PAULO;SP
37501082;AVENIDA DOUTOR VICENTE SANCHES;VARGINHA;ITAJUBA;MG
07134610;RUA JOSE LAZARO ZANETTI;PARQUE FLAMENGO;GUARULHOS;SP
61700000;ESTRADA BAIXA GRANDE;ZONA RURAL;AQUIRAZ;CE
89290000;RUA FRANCISCOPFFEIFER;OXFORD;SAO BENTO DO SUL;SC
30380403;AVENIDA RAJA GABAGLIA;ESTORIL;BELO HORIZONTE;MG
76916000;RODOVIA BR 364;SETOR INDUSTRIAL;PRESIDENTE MEDICI;RO
06515065;RUA PROFESSOR ANTONIO OLEGARIO CARO;JARDIM PROF BENOA;SANTANA DE PARNAIBA;SP
55012010;RUA VISCONDE DE INHAUMA;CENTRO;CARUARU;PE
76520000;RUA SALVADOR GARCIA;SETOR AGUA BRANCA;NOVA CRIXAS;GO
18440000;RUA FRANCISCO ALVES NEGRAO;VILA SAO PEDRO;ITABERA;SP
45928000;RUA PAPAGAIO;JARDIM DOS EUCALIPTOS POSTO DA MATA;NOVA VICOSA;BA
19010080;AVENIDA CORONEL JOSE SOARES MARCONDES;BOSQUE;PRESIDENTE PRUDENTE;SP
78455000;AVENIDA DAS ACACIAS;BANDEIRANTES;LUCAS DO RIO VERDE;MT
86300000;RUA BANDEIRANTES;CENTRO;CORNELIO PROCOPIO;PR
01217000;ALAMEDA DINO BUENO;CAMPOS ELISEOS;SAO PAULO;SP
89430000;AVENIDA MANOEL FORTUNATO;CENTRO;CALMON;SC
14020280;RUA DO PROFESSOR;JARDIM SAO LUIZ;RIBEIRAO PRETO;SP
49050220;RUA DOM BOSCO;SUISSA;ARACAJU;SE
72130300;QNG 30;TAGUATINGA NORTE;BRASILIA;DF
89204000;RUA DOUTOR JOAO COLIN;AMERICA;JOINVILLE;SC
13160000;RUA XV DE NOVEMBRO;CENTRO;ARTUR NOGUEIRA;SP
61808095;RUA 43;JEREISSATI III;PACATUBA;CE
86807000;AVENIDA AVIACAO;JARDIM TRABALHISTA;APUCARANA;PR
13324210;RUA EQUADOR;GUARAU;SALTO;SP
25946070;ESTRADA DA BARREIRA;CENTRO;GUAPIMIRIM;RJ
83601125;TRAVESSA IGUACU;CENTRO;CAMPO LARGO;PR
68540000;AVENIDA ARAGUAIA;EMERENCIO;CONCEICAO DO ARAGUAIA;PA
07093030;RUA DOMINGOS MAGNO;VILA SILVEIRA;GUARULHOS;SP
59300000;RUA JOAO VITORIANO;ACAMPAMENTO;CAICO;RN
69067391;RUA PAULO VI;PETROPOLIS;MANAUS;AM
04345000;AVENIDA ENGENHEIRO GEORGE CORBISIER;JABAQUARA;SAO PAULO;SP
13221450;RUA TAPUIA;JARDIM AMERICA II;VARZEA PAULISTA;SP
01405030;RUA PAMPLONA;JARDIM PAULISTA;SAO PAULO;SP
50740080;AVENIDA BARAO DE BONITO;BRASILIT;RECIFE;PE
58011040;RUA RODRIGUES CHAVES;TRINCHEIRAS;JOAO PESSOA;PB
02178010;RUA TERCEIRO SARGENTO JOAO LOPES FILHO;PARQUE NOVO MUNDO;SAO PAULO;SP
13720000;SITIO AGROPECUARIA SANTA ROSA;FAZENDA SANTA ISABEL;SAO JOSE DO RIO PARDO;SP
96810038;RUA THOMAS FLORES;CENTRO;SANTA CRUZ DO SUL;RS
96700000;ESTRADA SANTA ELIZA;ESTRADA GRAMAL;SAO JERONIMO;RS
29315327;RUA ANGELO RIGO;I B C;CACHOEIRO DE ITAPEMIRIM;ES
36415000;SITIO BELA VISTA;GRAND PARK;CONGONHAS;MG
74255971;RUA C 208;JARDIM AMERICA;GOIANIA;GO
55870000;AVENIDA BORBA;;TIMBAUBA;PE
84200000;AVENIDA CONDE FRANCISCO MATARAZZO;CENTRO;JAGUARIAIVA;PR
99900000;RODOVIA KM O G VARGAS SANANDUVA;;GETULIO VARGAS;RS
65700000;POVOADO SECO DAS MULATAS;ZONA RURAL;BACABAL;MA
