Código Localidade;Logradouro;Bairro;Município;UF
01435001;AVENIDA SAO GABRIEL;JARDIM PAULISTA;SAO PAULO;SP
57055502;RUA CORONEL LIMA ROCHA;PINHEIRO;MACEIO;AL
02849110;RUA JOAO PINTO DE OLIVEIRA;JARDIM GUARANI;SAO PAULO;SP
88380000;ESTRADA AMELIA B DOS SANTOS;MORRETES;BALNEARIO PICARRAS;SC
40265020;RUA HELIO DE OLIVEIRA;SANTA TERESA;SALVADOR;BA
37418000;RUA EMILIO TEODORO SILVA;CENTRO;SAO THOME DAS LETRAS;MG
21231030;RUA PROFESSOR SA NUNES;IRAJA;RIO DE JANEIRO;RJ
99700096;AVENIDA PEDRO PINTO DE SOUZA;CENTRO;ERECHIM;RS
91220580;ALAMEDA G;NOVA RESTINGA;PORTO ALEGRE;RS
99700036;AVENIDA GERMANO HOFFMANN;CENTRO;ERECHIM;RS
28970000;RUA SILVA VASCONCELLOS;CENTRO;ARARUAMA;RJ
06900000;RUA JOAO ANTONIO OLIVEIRA;VALFLOR;EMBU GUACU;SP
12238000;AVENIDA FEIRA DE SANTANA;JARDIM VALE DO SOL;SAO JOSE DOS CAMPOS;SP
13466280;RUA ABOLICAO;VILA SANTA CATARINA;AMERICANA;SP
13024500;RUA DOUTOR SHIGEO MORI;BARAO GERALDO;CAMPINAS;SP
36080080;RUA CORONEL VIDAL;MARIANO PROCOPIO;JUIZ DE FORA;MG
26216111;TRAVESSA LUIZ SOBRAL;CENTRO;NOVA IGUACU;RJ
17800000;LOCALIDADE CORREGO DO PRATA;CORREGO DO PRATA;ADAMANTINA;SP
26262020;RUA TOMAZ FONSECA;COMENDADOR SOARES;NOVA IGUACU;RJ
37550000;RUA FRANCISCO SALES;CENTRO;POUSO ALEGRE;MG
13400315;RUA PRUDENTE DE MORAIS;CENTRO;PIRACICABA;SP
13070090;RUA SAMPAIO VIDAL;JARDIM CHAPADAO;CAMPINAS;SP
08210040;RUA DRAGOES DA INDEPENDENC;VILA GUSTAVO;SAO PAULO;SP
09960250;RUA LUIZ DE VASCONCELOS;VILA NOGUEIRA;DIADEMA;SP
03435000;RUA JOAO CORDEIRO;VILA CARRAO;SAO PAULO;SP
22640000;RUA VILHENA DE MORAES;BARRA DA TIJUCA;RIO DE JANEIRO;RJ
95186000;VILA CINCO DA BOA VISTA;QUINTO DISTRITO;CARLOS BARBOSA;RS
01509001;RUA JOSE GETULIO;LIBERDADE;SAO PAULO;SP
81630220;RUA FREI H DE COIMBRA;VILA HAUER;CURITIBA;PR
18044390;AVENIDA SOROCABA;JARDIM DAS MAGNOLIAS;SOROCABA;SP
89041490;RUA BENJAMIN C MARGARIDA;VELHA;BLUMENAU;SC
85585000;AVENIDA GETULIO VARGAS;CENTRO;VERE;PR
09770550;RUA CIDADE DE SAO SEBASTIAO;NOVA PETROPOLIS;SAO BERNARDO DO CAMPO;SP
28905090;AVENIDA JOSE BENTO RIB DANTAS;ARMACAO DOS BUZIOS;CABO FRIO;RJ
31360200;RUA ANTONIO FALABELA;SANTA TEREZINHA;BELO HORIZONTE;MG
12510470;RUA ANTONIO DE O PORTES;POTIM;GUARATINGUETA;SP
02613070;RUA ARATANJI;VILA NOVA CACHOEIRINHA;SAO PAULO;SP
78655000;LOTEAMENTO PRIMAVERA;ZONA RURAL;PORTO ALEGRE DO NORTE;MT
75045190;AVENIDA CONTORNO DA MATO GROSSO;JUNDIAI;ANAPOLIS;GO
74180150;RUA 1136;MARISTA;GOIANIA;GO
40460120;AVENIDA JEQUITAIA;AGUA DE MENINOS;SALVADOR;BA
97050420;RUA TUIUTI;CENTRO;SANTA MARIA;RS
91770300;RUA BECO DOS AMIGOS;SERRARIA;PORTO ALEGRE;RS
95560000;VILA MORRO AZUL;QUARTO DISTRITO;TORRES;RS
95000000;ESTRADA FEDERAL BR;BELA VISTA;CAXIAS DO SUL;RS
89610000;LOCALIDADE BARREIROS;SEDE;HERVAL D OESTE;SC
95520972;ESTRADA RS 30;LARANJEIRAS DISTRITO;OSORIO;RS
94070130;RUA AGUAS BRANCAS;BOM PRINCIPIO;GRAVATAI;RS
97300000;RUA BARAO DO CAMBAY;SEDE;SAO GABRIEL;RS
88820000;ESTRADA GERAL;LAGOA DOS ESTEVES;ICARA;SC
97560000;RUA CHICO CORREA;;QUARAI;RS
96810136;RUA SENADOR PINHEIRO MACHADO;CENTRO;SANTA CRUZ DO SUL;RS
35700059;RUA JOSE DUARTE DE PAIVA;CENTRO;SETE LAGOAS;MG
19904565;AVENIDA JACINTO SA;VILA PERINO;OURINHOS;SP
29300000;RUA PROFESSOR GILCEU MACHADO;AMARAL;CACHOEIRO DE ITAPEMIRIM;ES
39401028;RUA JASMIM;SAGRADA FAMILIA;MONTES CLAROS;MG
38401730;RUA CORONEL ANTONIO A PEREIRA;CENTRO;UBERLANDIA;MG
21011070;RUA DO ARROZ;PENHA CIRCULAR;RIO DE JANEIRO;RJ
25880000;AVENIDA PAULINO FERNANDES;JAMAPARA;SAPUCAIA;RJ
29650000;RUA VARZEA ALEGRE;ALTO SANTA MARIA;SANTA TERESA;ES
20021290;RUA DO PASSEIO;CENTRO;RIO DE JANEIRO;RJ
04520912;RUA INHAMBU;INDIANOPOLIS;SAO PAULO;SP
14390000;ESTANCIA PRIMAVERA;RODOVIA;SANTO ANTONIO DA ALEGRIA;SP
08210040;RUA COM AFONSO KHERLAKIAN;SE;SAO PAULO;SP
29700778;RUA 31 DE MARCO;SANTO ANTONIO;COLATINA;ES
27211440;RUA NOVA YORK;SANTO AGOSTINHO;VOLTA REDONDA;RJ
04331100;RUA PRINC DAS ASTURIAS;VILA CAMPESTRE;SAO PAULO;SP
04342010;AVENIDA PEDRO BUENO;JABAQUARA;SAO PAULO;SP
45280000;RUA RODOLFO NOVAES;CENTRO;IGUAI;BA
78070100;AVENIDA CARMINDO DE CAMPOS;JARDIM PAULISTA;CUIABA;MT
18500000;RUA GUILHERME MARCONI;CENTRO;LARANJAL PAULISTA;SP
89802271;RUA MATO GROSSO D;JARDIM ITALIA;CHAPECO;SC
30150320;RUA PIAUI;SANTA EFIGENIA;BELO HORIZONTE;MG
03737010;RUA IMPERIAL;VILA BUENOS AIRES;SAO PAULO;SP
37564000;LOCALIDADE CALCADAO S M CARVALHO;CENTRO;BORDA DA MATA;MG
86870000;AVENIDA BRASIL;CENTRO;IVAIPORA;PR
84290000;AVENIDA MANOEL RIBAS;CENTRO;SAPOPEMA;PR
22790100;AVENIDA GUILHERME DE ALMEIDA;RECREIO;RIO DE JANEIRO;RJ
18200353;RUA JOAO ADOLFO;CENTRO;ITAPETININGA;SP
81610050;RUA CARLOS DE LAET;HAUER;CURITIBA;PR
03212000;RUA FRANCISCO REBELO;VILA CALIFORNIA;SAO PAULO;SP
89200000;RUA IVO VARELA;BOA VISTA;JOINVILLE;SC
80420900;RUA COMENDADOR ARAUJO;;CURITIBA;PR
36544000;RUA CAPITAO MARTINHO;CENTRO;PAULA CANDIDO;MG
86030495;RUA CAIENA;JARDIM GUANABARA;LONDRINA;PR
84381970;RUA PRINCIPAL;BAIRRO DOS FRANCA;ORTIGUEIRA;PR
89888000;RUA DO COMERCIO;CENTRO;CAIBI;SC
35365000;SITIO CACHOEIRINHA;ZONA RURAL;ABRE CAMPO;MG
04781000;AVENIDA DOUTOR LUIS ARROBAS MARTINS;CAPELA DO SOCORRO;SAO PAULO;SP
17690000;RUA PARANA;JARDIM BRASILIA;BASTOS;SP
15700030;RUA 11;CENTRO;JALES;SP
13800002;RUA ULHOA CINTRA;CENTRO;MOGI MIRIM;SP
18150000;RUA PINDUCA SOARES;CENTRO;IBIUNA;SP
04062002;AVENIDA INDIANOPOLIS;INDIANOPOLIS;SAO PAULO;SP
58013140;RUA ARTUR AQUILES;CENTRO;JOAO PESSOA;PB
09380170;RUA CABO JOAO ROMEU TEIXEIRA;CAPUAVA;MAUA;SP
40301155;RUA VALDER XAVIER DE LIMA;ITAPOA;SALVADOR;BA
60425290;RUA FREI ORLANDO;BOM FUTURO;FORTALEZA;CE
20261170;RUA PAULA FRASSINETTI;RIO COMPRIDO;RIO DE JANEIRO;RJ
06653230;PRACA JOAO MONEYOUR;DOS ABREUS;ITAPEVI;SP
17900970;AVENIDA PRESIDENTE ROOSEVELT;CENTRO;DRACENA;SP
89888000;AVENIDA PROGRESSO;CENTRO;CAIBI;SC
88010030;RUA JERONIMO COELHO;CENTRO;FLORIANOPOLIS;SC
18607710;RUA CORONEL JOSE VITORIANO VILLAS BOAS;VILA PADOVAN;BOTUCATU;SP
35660326;RUA ANTONIO FABIANO;SANTOS DUMONT;PARA DE MINAS;MG
57770000;RUA DA LINHA;CENTRO;CAJUEIRO;AL
18720000;RUA JOSE DO PATROCINIO;CENTRO;PARANAPANEMA;SP
18590000;RUA JOAO BIAGIONI PIO;CENTRO;BOFETE;SP
77600000;RUA JOSE BONIFACIO;CENTRO;PARAISO DO TOCANTINS;TO
75394970;PRACA SEBASTIAO VAZ;SETOR CENTRAL;SANTA BARBARA DE GOIAS;GO
07180000;AVENIDA JOAO VELOSO DA SILVA;JARDIM CUMBICA;GUARULHOS;SP
89440000;RUA 8 DE MAIO;CENTRO;IRINEOPOLIS;SC
69906116;VIA CHICO MENDES;AREAL;RIO BRANCO;AC
77023010;QUADRA 804 SUL ALAMEDA 5;PLANO DIRETOR SUL;PALMAS;TO
04501003;AVENIDA REPUBLICA DO LIBANO;MOEMA;SAO PAULO;SP
60721140;RUA MIRTES ROCHA;VILA PERY;FORTALEZA;CE
67133180;TRAVESSA WE;CIDADE NOVA;ANANINDEUA;PA
65800000;RUA PROJETADA;SETOR INDUSTRIAL;BALSAS;MA
36570000;AVENIDA JACOB LOPES CASTRO;NOVA ERA;VICOSA;MG
65074115;AVENIDA DANIEL DE LA TOUCHE;COHAMA;SAO LUIS;MA
71805722;QN 7 CONJUNTO 22;RIACHO FUNDO 1;BRASILIA;DF
84269180;RUA MANOEL PRETO;JARDIM BANDEIRANTES;TELEMACO BORBA;PR
03526000;AVENIDA ITAQUERA;JARDIM MARINGA;SAO PAULO;SP
17213403;RUA JOAO GERALDO CLARO;JARDIM PADRE AUGUSTO SANI;JAU;SP
69860000;AVENIDA DANILO CORREA;CIDADE ALTA;PAUINI;AM
35022651;RUA A;PORTO DAS CANOAS;GOVERNADOR VALADARES;MG
32628076;RUA LAGOA DOURADA;VIANOPOLIS;BETIM;MG
56280000;AVENIDA GOVERNADOR MUNIZ FALCAO;CENTRO;ARARIPINA;PE
06192130;RUA ANTONIO ZANCO;KM 18;OSASCO;SP
20000000;RUA SIQUEIRA CAMPOS;COPACABANA;RIO DE JANEIRO;RJ
65950000;AVENIDA ELIEZER MOREIRA;TAMARINDO;BARRA DO CORDA;MA
77318000;RUA DONHA PINTO CARVALHO;CENTRO;NOVO JARDIM;TO
29145620;AVENIDA JERUZALEM;VILA PALESTINA;CARIACICA;ES
14806202;RUA MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO;JARDIM IMPERADOR;ARARAQUARA;SP
79670000;RUA DOUTOR TEIXEIRA DE CARVALHO;CENTRO;BRASILANDIA;MS
04037004;RUA DOUTOR DIOGO DE FARIA;VILA CLEMENTINO;SAO PAULO;SP
13424080;RUA VIRGILIO FURLAN;PAULICEIA;PIRACICABA;SP
38405076;RUA ROMA;TIBERY;UBERLANDIA;MG
98400000;RUA 21 DE ABRIL;CENTRO;FREDERICO WESTPHALEN;RS
97670000;RUA RIACHUELO;CENTRO;SAO BORJA;RS
39300000;RUA CASILDA DULCE DOS SANTOS;APARECIDA;SAO FRANCISCO;MG
29313155;RUA ALCEBIADES JOSE SOBREIRA;BNH;CACHOEIRO DE ITAPEMIRIM;ES
14405152;RUA PEDRO BERDU DIAS;VILA FORMOSA;FRANCA;SP
14230000;AVENIDA HORACIO NEGRISOLO;CENTRO;SERRA AZUL;SP
64728970;RUA AUGUSTO ENEAS CARVALHO;CENTRO;PEDRO LAURENTINO;PI
55150615;RUA DIARIO DE PERNAMBUCO;EDSON MORORO MOURA;BELO JARDIM;PE
78065258;RUA SAO MATEUS;CAMPO VELHO;CUIABA;MT
95970000;AVENIDA NOSSA SENHORA DE FATIMA;FATIMA;MUCUM;RS
32113030;RUA SAFIRA;SAO JOAQUIM;CONTAGEM;MG
77816180;RUA ARAGUACI;JK;ARAGUAINA;TO
78500970;AVENIDA MARECHAL RONDON;CENTRO;COLIDER;MT
29900081;AVENIDA VITORIA;CENTRO;LINHARES;ES
79801015;RUA JOAQUIM TEIXEIRA ALVES;CENTRO;DOURADOS;MS
11250000;RUA GENERAL OSORIO;JARDIM PAULISTA;BERTIOGA;SP
45980000;RUA DANIEL FILHO;CENTRO;PRADO;BA
08371160;RUA LORENZO PENNA;JARDIM HELENA;SAO PAULO;SP
61921010;AVENIDA LATERAL NORTE;ACARACUZINHO;MARACANAU;CE
04183020;RUA GIUSEPPE BIBIENA;JARDIM SANTA EMILIA;SAO PAULO;SP
50020901;RUA MARQUES DO HERVAL;SANTO ANTONIO;RECIFE;PE
89037020;RUA APOLONIA VON BUETTNER;ASILO;BLUMENAU;SC
16403134;RUA MINAS GERAIS;JUNQUEIRA;LINS;SP
88062020;RUA HENRIQUE VERA DO NASCIMENTO;LAGOA DA CONCEICAO;FLORIANOPOLIS;SC
49035240;AVENIDA MARIO JORGE MENEZES VIEIRA;COROA DO MEIO;ARACAJU;SE
14670000;RUA VOLUNTARIO ETELVINO BORGES;CENTRO;NUPORANGA;SP
39403022;RUA DA FRATERNIDADE;ALTEROSAS;MONTES CLAROS;MG
85933000;AVMD BELO HORIZONTE;CENTRO;OURO VERDE DO OESTE;PR
88020600;RUA ANGELO LA PORTA;CENTRO;FLORIANOPOLIS;SC
79930970;RUA TRINTA E UM DE MARCO;CENTRO;ARAL MOREIRA;MS
69316128;RUA BRILHO DO SOL;BELA VISTA;BOA VISTA;RR
31310260;RUA PROFESSOR JOSE VIEIRA DE MENDONCA;ENGENHO NOGUEIRA;BELO HORIZONTE;MG
60355425;AVENIDA PRESIDENTE KENNEDY;ALDEOTA;FORTALEZA;CE
45190000;AVENIDA JOHN KENNEDY;CENTRO;PLANALTO;BA
13222305;AVENIDA PACAEMBU;JARDIM AMERICA III;VARZEA PAULISTA;SP
24461150;RUA RICARDO DOS SANTOS;MUTUA;SAO GONCALO;RJ
25650500;RUA VASSOURAS;QUITANDINHA;PETROPOLIS;RJ
